transactionType,transactionId,cardNumber,amount,Stan,currencyCode,transactionDate,transactionTime,responseCode,accountType,authorizationCode,merchantId,merchantCategoryCode,terminalId,cardExpiryDate,cardholderName,accountHolderName,transactionFee,authorizationIndicator,acquirerBin,issuerBin,merchantName,transactionCode,reasonCode,rrn,originalTransactionId,acquirerReferenceNumber,batchNumber,dateOfSettlement,settlementAmount,issuerResponseCode,transactionOrigin,transactionReference,originalTransactionAmount,refundAmount,adjustmentAmount,loyaltyPointsEarned,loyaltyPointsRedeemed,reversalIndicator,authorizationDateTime,originalAuthorizationCode,narrative
REFUND,15510850595200240,4234567812345672,703.36,808399,356,2025-03-23,10:00:00,00,Savings,AUTH603,MERCHANT58,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870001,,123ABC,BATCH001,2025-03-24,42.14,00,Online,REF1992,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15510959457900680,4234567812345672,221.02,379045,356,2025-03-23,10:00:00,00,Savings,AUTH760,MERCHANT53,5411,TERM7,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870002,,123ABC,BATCH001,2025-03-24,918.04,00,Online,REF2642,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15510977204200749,4234567812345677,968.19,280138,356,2025-03-23,10:00:00,00,Savings,AUTH508,MERCHANT67,5411,TERM4,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870003,,123ABC,BATCH001,2025-03-24,795.21,00,Online,REF2178,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
BALANCE_TRANSFER,15510995059600666,4234567812345671,418.42,93368,356,2025-03-23,10:00:00,00,Savings,AUTH514,MERCHANT97,5411,TERM0,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870004,,123ABC,BATCH001,2025-03-24,828.79,00,Online,REF4009,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,155110132764006,4234567812345670,855.17,13419,356,2025-03-23,10:00:00,00,Savings,AUTH737,MERCHANT91,5411,TERM9,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870005,,123ABC,BATCH001,2025-03-24,268.17,00,Online,REF3338,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15511029267700963,4234567812345677,410.64,405901,356,2025-03-23,10:00:00,00,Savings,AUTH471,MERCHANT22,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870006,,123ABC,BATCH001,2025-03-24,693.04,00,Online,REF6837,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,15511047524500398,4234567812345676,663.12,272388,356,2025-03-23,10:00:00,00,Savings,AUTH28,MERCHANT11,5411,TERM9,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870007,,123ABC,BATCH001,2025-03-24,160.38,00,Online,REF1938,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,15511066318400541,4234567812345674,811.68,300700,356,2025-03-23,10:00:00,00,Savings,AUTH427,MERCHANT99,5411,TERM1,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870008,,123ABC,BATCH001,2025-03-24,222.63,00,Online,REF6974,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
AUTHORIZATION,15511088523200865,4234567812345678,73.04,195148,356,2025-03-23,10:00:00,00,Savings,AUTH88,MERCHANT52,5411,TERM4,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870009,,123ABC,BATCH001,2025-03-24,42.18,00,Online,REF6113,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,15511117494900430,4234567812345671,447.24,899920,356,2025-03-23,10:00:00,00,Savings,AUTH594,MERCHANT77,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250870010,,123ABC,BATCH001,2025-03-24,974.47,00,Online,REF5578,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
