transactionType,transactionId,cardNumber,amount,Stan,currencyCode,transactionDate,transactionTime,responseCode,accountType,authorizationCode,merchantId,merchantCategoryCode,terminalId,cardExpiryDate,cardholderName,accountHolderName,transactionFee,authorizationIndicator,acquirerBin,issuerBin,merchantName,transactionCode,reasonCode,rrn,originalTransactionId,acquirerReferenceNumber,batchNumber,dateOfSettlement,settlementAmount,issuerResponseCode,transactionOrigin,transactionReference,originalTransactionAmount,refundAmount,adjustmentAmount,loyaltyPointsEarned,loyaltyPointsRedeemed,reversalIndicator,authorizationDateTime,originalAuthorizationCode,narrative
CAPTURE,14278184102207300456,4234567812345674,753.83,799840,356,2025-03-23,10:00:00,00,Savings,AUTH331,MERCHANT44,5411,TERM2,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860004,,123ABC,BATCH001,2025-03-24,687.89,00,Online,REF8411,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CAPTURE,14278184112387100635,4234567812345670,346.19,295939,356,2025-03-23,10:00:00,00,Savings,AUTH509,MERCHANT85,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860005,,123ABC,BATCH001,2025-03-24,225.62,00,Online,REF1437,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
REFUND,14278184125997300333,4234567812345677,850.73,148002,356,2025-03-23,10:00:00,00,Savings,AUTH125,MERCHANT4,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860006,,123ABC,BATCH001,2025-03-24,688.61,00,Online,REF81,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CHARGEBACK,14278184142068799817,4234567812345676,777.95,704884,356,2025-03-23,10:00:00,00,Savings,AUTH820,MERCHANT34,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860007,,123ABC,BATCH001,2025-03-24,224.08,00,Online,REF2536,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CHARGEBACK,14278184158565100560,4234567812345677,150.89,806190,356,2025-03-23,10:00:00,00,Savings,AUTH92,MERCHANT65,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860008,,123ABC,BATCH001,2025-03-24,483.34,00,Online,REF6535,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,14278184176102699827,4234567812345674,358.70,723385,356,2025-03-23,10:00:00,00,Savings,AUTH53,MERCHANT86,5411,TERM0,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860009,,123ABC,BATCH001,2025-03-24,826.24,00,Online,REF5939,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,14278184191988500634,4234567812345674,994.37,928100,356,2025-03-23,10:00:00,00,Savings,AUTH713,MERCHANT99,5411,TERM7,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860010,,123ABC,BATCH001,2025-03-24,471.76,00,Online,REF9955,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,14278184206849000572,4234567812345670,791.57,917291,356,2025-03-23,10:00:00,00,Savings,AUTH477,MERCHANT10,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860011,,123ABC,BATCH001,2025-03-24,155.92,00,Online,REF101,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,14278184222250200436,4234567812345670,67.61,264374,356,2025-03-23,10:00:00,00,Savings,AUTH467,MERCHANT54,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860012,,123ABC,BATCH001,2025-03-24,723.86,00,Online,REF7856,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
PURCHASE,14278184237962600235,4234567812345679,735.02,151426,356,2025-03-23,10:00:00,00,Savings,AUTH506,MERCHANT98,5411,TERM5,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860013,,123ABC,BATCH001,2025-03-24,509.43,00,Online,REF2426,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,14278184300541800392,4234567812345673,336.13,480661,356,2025-03-23,10:00:00,00,Savings,AUTH856,MERCHANT70,5411,TERM6,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860014,,123ABC,BATCH001,2025-03-24,910.68,00,Online,REF4960,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,14278184319176900498,4234567812345676,25.54,416665,356,2025-03-23,10:00:00,00,Savings,AUTH361,MERCHANT77,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860015,,123ABC,BATCH001,2025-03-24,44.42,00,Online,REF6299,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
CASH_ADVANCE,14278184331711200584,4234567812345670,510.61,483939,356,2025-03-23,10:00:00,00,Savings,AUTH819,MERCHANT37,5411,TERM8,12/25,John Doe,John Doe,2.50,A,123456,654321,SuperMart,SALE,00,20250860016,,123ABC,BATCH001,2025-03-24,211.63,00,Online,REF7334,0,0,0,10,5,N,2025-03-23T10:00:00,,Transaction successful
